key;en
item.leeches.divine.description;Remove all status effects and any items they are related to. Gain a revive if you removed 3 or more status effects this way.
item.leeches;Leeches
item.leeches.description;Remove all status effects and any items they are related to. Restore 1 life for each status effect removed this way.
item.leftovers;Leftovers
item.leftovers.description;Whenever a status effect expires, gain the same status effect.
item.library-card;Library Card
item.library-card.description;Visit a Library from the overworld. Libraries will have an additional research subject.
item.life-amulet;Life Amulet
item.life-amulet.description;Doubles your chance to find hearts.
item.life-ring;Life Ring
item.life-ring.description;Slightly increases your chance to find lives.
item.lightning-bug;Lightning Bug
item.lightning-bug.description;Every 5 turns, apply electric to a random visible cell.
item.lightning-rod;Lightning Rod
item.lightning-rod.description;Fully discharge a random magic item instead of taking damage.
item.lightning-totem;Lightning Totem
item.lightning-totem.description;Enchant target visible cell, apply Electric to it: each turn, increase the value by 1. If it's 10 or greater, kill monsters in this quadrant equal to the number of Electric cells in this quadrant, then reset the value.
item.lightpost;Lightpost
item.lightpost.description;Enchant 10 random cells each stage: when you chord or target this cell with an item, reveal the nearby 5x5 area and remove the enchantment.
item.lightstone-boots;Lightstone Boots
item.lightstone-boots.description;[1 Leg Armor] Every 10 turns, reveal all cells around the cell you open.
item.lightstone-chestplate;Lightstone Chestplate
item.lightstone-chestplate.description;[5 Body Armor] Fortify by 2 whenever a monster is revealed by an effect.
item.lightstone-helmet;Lightstone Helmet
item.lightstone-helmet.description;[1 Head Armor] When equipped, reveal target column. Fortify whenever a monster is revealed by an effect.
item.lion-tail;Lion Tail
item.lion-tail.description;When you enter a stage, gain Minions equal to the maximum power.
item.liquid-gold;Liquid Gold
item.liquid-gold.description;When you spend coins, this transforms into an item worth the amount spent.
item.loan;Loan
item.loan.description;Gain 40 coins. Every 20 turns, spend 10 coins on debt.
item.longbow;Longbow
item.longbow.description;Reveal target row. Kill all monsters in the row and return 20 mana to this item for each monster killed this way.
item.lotus;Lotus
item.lotus.description;Restore lives equal to the value of target numbered cell.
item.loudhailer;Loudhailer
item.loudhailer.description;Spawn random strangers on 0-value cells within target visible 3x3 area.
item.loupe;Loupe
item.loupe.description;Diamonds are worth 1 more coin.
item.lucky-bamboo;Lucky Bamboo
item.lucky-bamboo.description;Triples your chance to find legendary and divine items.
item.lucky-leaf;Lucky Leaf
item.lucky-leaf.description;50% chance to negate damage.
item.lumberjack-doll;Lumberjack Doll
item.lumberjack-doll.description;Spawn a sawblade then reveal a number of monsters equal to your mastery charges at the start of each stage, and when your ultimate ability is activated.
item.lumberjack's-memento;Lumberjack's Memento
item.lumberjack's-memento.description;Spawn a Sawblade at the start of the next dimension and set its lifespan equal to the number of orbs you had.
item.lycan-snag;Lycan Snag
item.lycan-snag.description;Every 20 turns, convert all strangers into monsters.
item.lyre;Lyre
item.lyre.description;Reduce the selected stage's monster count by 5.
item.lyre.divine;Divine Lyre
item.lyre.divine.description;Add 10 monsters to the selected uncompleted stage. Remove 5 monsters from all other stages.
item.mage-medal;Mage Medal
item.mage-medal.description;Stages have an additional Mage.
item.magic-amulet;Magic Amulet
item.magic-amulet.description;Cells provide 1 extra mana.
item.magic-bones;Magic Bones
item.magic-bones.description;Bury Bones.
item.magic-dark-ink;Magic Dark Ink
item.magic-dark-ink.description;Lose a number of omens equal to the value of target numbered cell, then gain that many random omens.
item.magic-dice;Magic Dice
item.magic-dice.description;Rerolls the mods on a selected stage, guaranteeing at least one stage mod.
item.magic-hammer;Magic Hammer
item.magic-hammer.description;Fortify all of your armor by 100% of their current durability.
item.magic-minion;Magic Minion
item.magic-minion.description;Use Minion. If you're about to take damage, this item will discharge to deflect 1 damage.
item.magic-munchies;Magic Munchies
item.magic-munchies.description;Gain a soul, plus 1 soul for every 200 mana you have.
item.magic-smoke-bomb;Magic Smoke Bomb
item.magic-smoke-bomb.description;Exit the current stage without completing. Manalock for 20 turns.
item.magic-spoon;Magic Spoon
item.magic-spoon.description;Whenever you consume an item, gain 50 mana.
item.magic-totem;Magic Totem
item.magic-totem.description;Reduce the stage power by 1.
item.magical-bean;Magical Bean
item.magical-bean.description;For 1 turn, your targeted items affect the entire column and row of cells.
item.magnet;Magnet
item.magnet.description;Relocate the closest visible object to target visible cell.
item.magnifying-glass;Magnifying Glass
item.magnifying-glass.description;Cell values are visible even when the cell is occupied.
item.makeshift-weapon;Makeshift Weapon
item.makeshift-weapon.description;Reveal and kill any monsters in target area, then lose a random weapon. The radius of this item is equal to your number of weapons.
item.mana-lung;Mana Lung
item.mana-lung.description;Each turn, gain mana equal to the sum of your chain.
item.mana-potion;Mana Potion
item.mana-potion.description;Gain 100 mana.
item.mana-signet;Mana Signet
item.mana-signet.description;Stages have additional Ethereal cells equal to the minimum power. When you complete a stage, gain 50 mana for each visible Ethereal cell.
item.mana-tank;Mana Tank
item.mana-tank.description;Gain 200 mana.
item.manabank;Manabank
item.manabank.description;When you complete a stage, gain 100 mana for every diamond or chest left behind.
item.manaboard;Manaboard
item.manaboard.description;Every 10 turns, if it's possible to fully discharge a random magic item, do so and lose 1 life.
item.maniac's-mask;Maniac's Mask
item.maniac's-mask.description;[1 Head Armor] Must... kill... strangers...
item.mantis;Mantis
item.mantis.description;When you enter a stage, gain 2 souls for every stage mod.
item.mantis.divine;Divine Mantis
item.mantis.divine.description;When you enter a stage with 3 or more stage mods, gain a revive.
item.map-marker;Map Marker
item.map-marker.description;Whenever you discover a cell of value 6 or greater, gain 2% pathfinding.
item.mark-of-exile;Mark of Exile
item.mark-of-exile.description;You will not discover strangers.
item.marksman-doll;Marksman Doll
item.marksman-doll.description;Increase the length of your chain by 3 times your mastery charges at the start of each stage, and when you activate your ultimate ability.
item.marksman's-memento;Marksman's Memento
item.marksman's-memento.description;Increase your life and defense cap for the next dimension by the length of your chain when you entered the portal.
item.marshmallow.divine;Divine Marshmallow
item.marshmallow.divine.description;Remove Burning from target 7x7 area and gain 1% pathfinding for each aura removed this way. If you removed fewer than 5, transform into Toasted Marshmallow. Otherwise, transform into Burnt Marshmallow.
item.marshmallow;Marshmallow
item.marshmallow.description;Remove Burning from target visible cell. If the cell has a value of 3, transform this item into Toasted Marshmallow. If the cell has a value of 4 or greater, transform this item into Burnt Marshmallow.
item.master's-degree;Master's Degree
item.master's-degree.description;Activate your mastery's ultimate ability, then manalock for 100 turns.
item.matchbook.divine;Divine Matchbook
item.matchbook.divine.description;Pyros are more common and cost half as much. They will send flares in all directions.
item.matchbook;Matchbook
item.matchbook.description;Pyros are more common and cost half as much. They will also send flares in the opposite direction.
item.maul;Maul
item.maul.description;When you enter a stage, the first cell you chord becomes a powerchord. Every 10 monsters you kill, gain a soul.
item.medusa-head;Medusa Head
item.medusa-head.description;Convert all visible strangers into spawners of the same type, then unseal an inventory slot for each stranger converted this way.
item.melted-clock;Melted Clock
item.melted-clock.description;Triple the duration of your status effects.
item.mercenary-medal;Mercenary Medal
item.mercenary-medal.description;Stages have an additional Mercenary.
item.merchant-amulet;Merchant Amulet
item.merchant-amulet.description;Strangers activate two additional times.
item.merchant-ring;Merchant Ring
item.merchant-ring.description;You may sell items at Item Shops
item.metal-detector;Metal Detector
item.metal-detector.description;While charged, all chests will contain coins.
item.midas-glove;Midas Glove
item.midas-glove.description;Heart drops are converted to diamonds if you are not injured.
item.mildew;Mildew
item.mildew.description;Bubble the first 3 other items in your inventory. When you pop a bubble, destroy its contents.
item.milk;Milk
item.milk.description;Gain 1 defense. For the next 300 turns, you can powerchord Sanctified cells.
item.millstone;Millstone
item.millstone.description;Decrease the lifespan of your Sawblades each turn. Spawn a Sawblade whenever a status effect is completed.
item.mimic;Mimic
item.mimic.description;When you open a chest on a 1 or greater, take monster damage.
item.mind-gut;Mind Gut
item.mind-gut.description;Right-click items with ongoing status effects to consume them and activate their completion.
item.minion;Minion
item.minion.description;Solve a random cell. If you're about to take damage, this Minion will sacrifice itself to negate 1 damage.
item.miracle-seed;Miracle Seed
item.miracle-seed.description;Increase the size of the selected stage.
item.miracle-seed.divine;Divine Miracle Seed
item.miracle-seed.divine.description;Massively increase the size of selected stage.
item.mirror;Mirror
item.mirror.description;Randomly use one of your consumable items without losing it. Manalock for 40 turns.
item.mirror.divine;Divine Mirror
item.mirror.divine.description;Use all of your consumable items without losing them. Manalock for 50 turns.
item.misgiving-eye;Misgiving Eye
item.misgiving-eye.description;Halves chances of finding loot.
item.mithril-boots;Mithril Boots
item.mithril-boots.description;[7 Leg Armor] Strong leg armor.
item.mithril-chestplate;Mithril Chestplate
item.mithril-chestplate.description;[15 Body Armor] Strong body armor.
item.mithril-helmet;Mithril Helmet
item.mithril-helmet.description;[10 Head Armor] Strong head armor.
item.mjolnir;Mjolnir
item.mjolnir.description;Reduce the monster count of all other stages by the value of target numbered cell. If the cell has a monster, kill it.
item.molotov;Molotov
item.molotov.description;Reveal and apply Burning to random hidden cells until it lands on one without a monster.
item.monocle;Monocle
item.monocle.description;Flag 3 monsters whenever you spend coins.
item.monster-spray;Monster Spray
item.monster-spray.description;For 100 turns, monsters have a chance to flee instead of attacking. The chance is equal to the number of turns left on this effect.
item.moon;Moon
item.moon.description;Whenever a monster is revealed, reduce the stage's max power by 1.
item.moonflower;Moonflower
item.moonflower.description;Increase your status effect counters by 20.
item.morel;Morel
item.morel.description;Cells provide 1 less mana.
item.morning-glory;Morning Glory
item.morning-glory.description;Pass 30 turns.
item.mortal-root;Mortal Root
item.mortal-root.description;Set your lives and max lives to the value of target numbered cell.
item.mortar.divine;Divine Mortar
item.mortar.divine.description;Whenever a monster dies, it explodes in a 3x3 area.
item.mortar;Mortar
item.mortar.description;Whenever a visible monster dies, it explodes in a 3x3 area.
item.mortify;Mortify
item.mortify.description;If you take damage, for the next 10 turns any amount of damage will kill you.
item.mosquito;Mosquito
item.mosquito.description;Lose 1 life every 40 turns. Reset this status counter when you leave a stage.
item.mucilage;Mucilage
item.mucilage.description;Hungry Plants are more common. You may right click a Hungry Plant to feed it the last item in your inventory. Gain 1 coin when you activate a Hungry Plant.
item.mud.divine;Divine Mud
item.mud.divine.description;For the next 500 turns, gain a Minion whenever you use a magic item. The next time this activates, get an additional Minion.
item.mud;Mud
item.mud.description;For the next 100 turns, gain a Minion whenever you use a magic item.
item.muscle;Muscle
item.muscle.description;Spawn a strong familiar at the start of each stage.
item.muscle.divine;Divine Muscle
item.muscle.divine.description;At the start of a stage, spawn a number of strong familiars equal to the minimum power.
item.mutant-doll;Mutant Doll
item.mutant-doll.description;Spawn mutated Cankers equal to your mastery charges at the start of each stage, and when you activate your ultimate ability.
item.mutant's-memento;Mutant's Memento
item.mutant's-memento.description;Increase your life cap for the next dimension by your number of Cankers.
item.mutton;Mutton
item.mutton.description;Guarantees one additional heart drop per stage.
item.mystery-meat;Mystery Meat
item.mystery-meat.description;Your consumable item effects are randomized.
item.nanobot;Nanobot
item.nanobot.description;Whenever you lose life, restore that much life after opening 100 cells.
item.nanobot.divine;Divine Nanobot
item.nanobot.divine.description;Whenever you lose life, gain that many souls after opening 50 cells.
item.nemes;Nemes
item.nemes.description;Whenever you spend coins on a stranger, their cell gains Cursed.
item.neoplasm;Neoplasm
item.neoplasm.description;Add a random mutation to each of your Cankers, plus a mutation for each of your Poisons.
item.nervewrecker;Nervewrecker
item.nervewrecker.description;Whenever a monster is revealed, your passive items are disabled for 20 turns.
item.nightcap;Nightcap
item.nightcap.description;[1 Head Armor] Fortify whenever you pass 1 or more turns.
item.nightmare-gut;Nightmare Gut
item.nightmare-gut.description;You may consume omens at the cost of 1 life each.
item.ninja-doll;Ninja Doll
item.ninja-doll.description;At the start of the stage and when you activate your mastery ability, gain Shuriken equal to the number of times your ability has been activated.
item.ninja's-memento;Ninja's Memento
item.ninja's-memento.description;Increase your life cap for the next dimension by 3 times the number of stages since you last took damage.
item.nitrogen;Nitrogen
item.nitrogen.description;Apply Frozen to random hidden cells until it lands on one without a monster.
item.nomad-medal;Nomad Medal
item.nomad-medal.description;Stages have an additional Nomad.
item.novice-doll;Novice Doll
item.novice-doll.description;If you have to guess at the start of each stage or when your ultimate mastery ability is activated, set your mastery charges to half full.
item.nuclear-waste;Nuclear Waste
item.nuclear-waste.description;Whenever you lose an item that isn't Poison, gain Poison.
item.nunchucks;Nunchucks
item.nunchucks.description;Reveal target 3x3 area. If the sum of that area is less than the sum of your chain, kill all monsters in that area. Otherwise, you take 3 damage.
item.occultic-pendant;Occultic Pendant
item.occultic-pendant.description;Whenever a monster would spawn, a stranger spawns instead.
item.ointment;Ointment
item.ointment.description;Whenever you discover a 4 or greater, pacify a Canker. If there are no Cankers to pacify, spawn one instead.
item.onyx-of-agony;Onyx of Agony
item.onyx-of-agony.description;Target cell gains or loses Cursed.
item.opal-of-mana;Opal of Mana
item.opal-of-mana.description;Target cell gains or loses Ethereal.
item.ouroboros;Ouroboros
item.ouroboros.description;Swap the selected stage's monster count with its maximum power. Manalock for 50 turns.
item.overgrowth;Overgrowth
item.overgrowth.description;Spawn a Hungry Plant every 3 turns. You must spend 10 coins to feed a Hungry Plant.
item.pacemaker;Pacemaker
item.pacemaker.description;Whenever you lose exactly 1 life, spawn a Sawblade. Whenever a Sawblade explodes, restore 1 life.
item.pacifier;Pacifier
item.pacifier.description;Replace the stage mods on the selected stage with less difficult stage mods.
item.pact-of-nature;Pact of Nature
item.pact-of-nature.description;Solve a random cell for each of your Minions. If you don't have any, gain a Minion instead. Different minion types will cause different effects.
item.padlock;Padlock
item.padlock.description;Every 50 turns, seal or unseal your entire inventory.
item.pan-flute;Pan Flute
item.pan-flute.description;Whenever you discover a 4 or greater, spawn a familiar.
item.pandora's-box;Pandora's Box
item.pandora's-box.description;When you complete a stage, gain a random item.
item.paper-golem;Paper Golem
item.paper-golem.description;Every 100 cells you open, gain a random Quest item.
item.paragon-rod;Paragon Rod
item.paragon-rod.description;Convert all visible loot to items.
item.paragon-stone;Paragon Stone
item.paragon-stone.description;Enchant target visible cell: each turn, increase this cell's value by 1. If it's 10 or greater, transform the cell's object into a random item, then reset the cell value.
item.parasol;Parasol
item.parasol.description;Whenever you discover a 5 or greater, solve a random cell.
item.parrot;Parrot
item.parrot.description;Treasure chests contain two rewards.
item.parting-gift;Parting Gift
item.parting-gift.description;Whenever a stranger would die, activate his or her effect first.
item.patron-saint;Patron Saint
item.patron-saint.description;Spend 5 coins on target stranger and convert it to a strong familiar.
item.peach;Peach
item.peach.description;Heart drops are worth 1 extra life.
item.pendulum;Pendulum
item.pendulum.description;Solve 3 cells. Recharge this item whenever an orb is destroyed.
item.pennypincher;Pennypincher
item.pennypincher.description;You cannot find items worth more than 20 coins.
item.pennywise;Pennywise
item.pennywise.description;For 100 turns, collecting a coin flags a random monster instead of lining your wallet.
item.pentagram;Pentagram
item.pentagram.description;Fill target visible 3x3 area with monsters.
item.perennial-splendor;Perennial Splendor
item.perennial-splendor.description;When you enter a stage, gain a random legendary item.
item.perfume;Perfume
item.perfume.description;Every 20 turns, spawn a heart.
item.pet-rock;Pet Rock
item.pet-rock.description;Good company.
item.pheromones;Pheromones
item.pheromones.description;Every 300 cells opened, gain a copy of an item that you have two or more of.
item.philosopher's-stone;Philosopher's Stone
item.philosopher's-stone.description;Spend 20 coins instead of taking damage.
item.phoenix-feather;Phoenix Feather
item.phoenix-feather.description;Automatically discharges to prevent death.
item.pickaxe.divine;Divine Pickaxe
item.pickaxe.divine.description;Doubles the value of currency drops.
item.pickaxe;Pickaxe
item.pickaxe.description;Doubles the value of diamonds.
item.pillow;Pillow
item.pillow.description;Whenever you break a chain, pass a number of turns equal to the chain's length.
item.pipe-bomb;Pipe Bomb
item.pipe-bomb.description;Explode target cell. Increase the radius of this item by the number of special stages you have completed.
item.pitchfork;Pitchfork
item.pitchfork.description;Whenever you collect loot, send a Flare in a random direction from the looted cell.
item.planned-obsolescence;Planned Obsolescence
item.planned-obsolescence.description;Whenever you gain an item, lose it after 101 turns.
item.plum;Plum
item.plum.description;Expand the radius of your next targetable item by 1.
item.poison;Poison
item.poison.description;Every 60 turns, you lose 1 life.
item.poison-blade;Poison Blade
item.poison-blade.description;Kill target monster or stranger in 5 turns, applying Toxic to its cell after it dies. Cancel the cast to poison yourself.
item.poisoner-doll;Poisoner Doll
item.poisoner-doll.description;Cast Poison Blade a number of times equal to your mastery charges at the start of each stage, and when your ultimate ability is activated.
item.poisoner's-memento;Poisoner's Memento
item.poisoner's-memento.description;At the start of the next dimension, activate a number of Spider Fangs equal to your number of Poison.
item.poker-chip;Poker Chip
item.poker-chip.description;Gamblers are more common and cost half as much. You may right click a Gambler to move him 3 times for the price of one, but all of his coins are lost.
item.police-boots;Police Boots
item.police-boots.description;[2 Leg Armor] Visible monsters near the cells you open will flee.
item.police-hat;Police Hat
item.police-hat.description;[1 Head Armor] Fortify whenever a monster flees. When equipped, all visible monsters flee.
item.police-vest;Police Vest
item.police-vest.description;[6 Body Armor] Fortify by 2 whenever a monster flees. After taking monster damage, all nearby visible monsters flee.
item.poltergeist;Poltergeist
item.poltergeist.description;When you enter a stage, spawn a number of Cankers equal to the minimum power.
item.ponderer's-pipe;Ponderer's Pipe
item.ponderer's-pipe.description;When you complete a stage, gain 1 soul if you took no damage.
item.postbox;Postbox
item.postbox.description;Spend coins to order a random item. After 10 turns, the item is added to your inventory.
item.pound-of-flesh;Pound of Flesh
item.pound-of-flesh.description;Lose a random item instead of taking damage.
item.pound-of-flesh.divine;Divine Pound of Flesh
item.pound-of-flesh.divine.description;Seal your last active inventory slot instead of taking damage. When you lose this item, unseal all of your inventory slots.
item.powder-keg;Powder Keg
item.powder-keg.description;Spawn a Barrel on target empty cell. It will explode in 5 seconds.
item.present;Present
item.present.description;Contains a random non-omen item.
item.present.divine;Divine Present
item.present.divine.description;Contains a random legendary or divine item.
item.price-gouger;Price Gouger
item.price-gouger.description;Item Shop prices are unknown.
item.priest-medal;Priest Medal
item.priest-medal.description;Stages have an additional Priest.
item.primordial-bangle;Primordial Bangle
item.primordial-bangle.description;At the start of each stage, gain a random magic item if you have less than 200 mana.
item.primordial-gate;Primordial Gate
item.primordial-gate.description;Whenever you discover a cell of value 5 or greater, gain a random magic item.
item.prism-of-chaos;Prism of Chaos
item.prism-of-chaos.description;Whenever a cell gains an aura, apply the same aura to another random cell.
item.prism-of-intellect;Prism of Intellect
item.prism-of-intellect.description;Your targeted magic items will target an additional random cell.
item.prism-of-light;Prism of Light
item.prism-of-light.description;Your reveal effects will reveal an additional cell.
item.profane-staff;Profane Staff
item.profane-staff.description;Whenever you collect a diamond, manalock a random magic item for a number of turns equal to its mana cost.
item.propane;Propane
item.propane.description;Enchant target visible cell: increase the value of this cell by 1 each turn. If it's 10 or greater, send flares in all directions then reset its value.
item.prophet-doll;Prophet Doll
item.prophet-doll.description;Gain Tokens equal to your mastery charges at the start of each stage, and when your ultimate ability is activated.
item.prophet's-memento;Prophet's Memento
item.prophet's-memento.description;Spawn a Guide whenever you collect a Token.
item.protagonist-doll;Protagonist Doll
item.protagonist-doll.description;Spawn legendary items equal to your mastery charges at the start of each stage, and when your ultimate ability is activated.
item.protagonist's-memento;Protagonist's Memento
item.protagonist's-memento.description;At the start of the next dimension, gain random legendary items equal to your number of Mementos.
item.pufferfish;Pufferfish
item.pufferfish.description;Automatically discharges when damage reduces your life to 1. Kill 20 random monsters.
item.punchbag;Punchbag
item.punchbag.description;Whenever you finish an item shop, uncomplete the first stage of the quest.
item.puppet-strings;Puppet Strings
item.puppet-strings.description;Transform all visible strangers into Dolls.
item.purify;Purify
item.purify.description;Remove all stage mods from selected stage.
item.pursecutter;Pursecutter
item.pursecutter.description;Steal coins from target stranger equal to his or her price.
item.puzzle;Puzzle
item.puzzle.description;When you lose this item, gain a random legendary item.
item.puzzle.divine;Divine Puzzle
item.puzzle.divine.description;When you lose this item, gain 3 Presents.
item.pyro-medal;Pyro Medal
item.pyro-medal.description;Stages have an additional Pyro.
item.pyromancy;Pyromancy
item.pyromancy.description;When you target a cell with an item, it gains Burning. When you complete a stage, gain 1 soul for each Burning cell of value 5 or greater.
item.queen-of-hearts;Queen of Hearts
item.queen-of-hearts.description;Spawn hearts on visible cells in target 3x3 area. Convert any hearts that were already in this area into souls.
item.quest-for-commerce;Quest for Commerce
item.quest-for-commerce.description;After opening 100 cells without making a mistake, spawn 10 strangers.
item.quest-for-mythos;Quest for Mythos
item.quest-for-mythos.description;After opening 100 cells without making a mistake, spawn 3 legendary items.
item.quest-for-necrosis;Quest for Necrosis
item.quest-for-necrosis.description;After opening 100 cells without making a mistake, fill your inventory with Bones.
item.quest-for-pets;Quest for Pets
item.quest-for-pets.description;After opening 100 cells without making a mistake, gain 8 Minions.
item.quest-for-piety;Quest for Piety
item.quest-for-piety.description;After opening 100 cells without making a mistake, destroy all omens.
item.quest-for-prosperity;Quest for Prosperity
item.quest-for-prosperity.description;After opening 100 cells without making a mistake, gain 4 souls.
item.quest-for-quests;Quest for Quests
item.quest-for-quests.description;After opening 50 cells without making a mistake, gain 2 Quest items.
item.quest-for-rest;Quest for Rest
item.quest-for-rest.description;After opening 100 cells without making a mistake, pass 100 turns.
item.quest-for-riches;Quest for Riches
item.quest-for-riches.description;After opening 100 cells without making a mistake, gain 50 coins.
item.quest-for-sin;Quest for Sin
item.quest-for-sin.description;After opening 100 cells without making a mistake, lose this item and gain 4 omens.
item.quest-for-sorcery;Quest for Sorcery
item.quest-for-sorcery.description;After opening 100 cells without making a mistake, gain 3 uncharged magic items.
item.quest-for-valor;Quest for Valor
item.quest-for-valor.description;After opening 100 cells without making a mistake, gain 3 defense.
item.rabbit-foot;Rabbit Foot
item.rabbit-foot.description;Every 20 cells opened, reveal a random cell.
item.rabid-minion;Rabid Minion
item.rabid-minion.description;When you gain this as well as every 10 turns, reveal and kill a random monster. If you're about to take damage, this Minion will sacrifice itself to increase the damage by 1.
item.rainbow-dust;Rainbow Dust
item.rainbow-dust.description;Reveal all cells that have auras.
item.rainbow-egg;Rainbow Egg
item.rainbow-egg.description;You must have at least 5 consumable items, 4 passive items, 3 magic items, 2 omens, and a legendary item to open this egg!
item.rainbow-iris;Rainbow Iris
item.rainbow-iris.description;Solve a random cell, plus a number of cells equal to the different types of visible auras.
item.rainbow-lens;Rainbow Lens
item.rainbow-lens.description;Remove auras from target 5x5 area. Flag a monster for each aura removed this way.
item.rainbow-rope;Rainbow Rope
item.rainbow-rope.description;Gain 1% pathfinding at the end of each stage for each different type of aura present.
item.rainbow-trout;Rainbow Trout
item.rainbow-trout.description;Gain souls equal to the different types of visible auras.
item.rasp;Rasp
item.rasp.description;Mystic Statues are more common. Statue stages no longer increase difficulty.
item.raven;Raven
item.raven.description;Every 100 cells opened, lose 1 morality. If your morality is -10 or less, lose 1 max life.
item.reaper-scythe;Reaper Scythe
item.reaper-scythe.description;Destroy a random omen instead of taking fatal damage.
item.recycle-bin;Recycle Bin
item.recycle-bin.description;Enchant target visible cell: increase the value of this cell by 1 each turn. If it's 10 or greater, drop a random item into this cell then reset its value.
item.red-dye;Red Dye
item.red-dye.description;You will only find omens. Lose this item when you gain an omen.
item.red-egg;Red Egg
item.red-egg.description;You must have 2 or more omens to open this egg!
item.red-flag;Red Flag
item.red-flag.description;Automatically discharges to prevent an empty cell from becoming flagged.
item.reflector-blade;Reflector Blade
item.reflector-blade.description;Other visible monsters will be killed to reduce incoming monster damage by 2 each.
item.regift.divine;Divine Regift
item.regift.divine.description;Consume passive items to spawn a chest, applying Sanctified in a 3x3 area around the chest.
item.regift;Regift
item.regift.description;Consume passive items to spawn a chest.
item.resolute-horn;Resolute Horn
item.resolute-horn.description;When you complete a stage, gain 2 souls for each heart you leave behind.
item.rewards-card;Rewards Card
item.rewards-card.description;Reduce the prices of Item Shops and strangers by 3 coins. Whenever you spend at least 20 coins, gain a Present.
item.rewind.divine;Divine Rewind
item.rewind.divine.description;Every 100 turns, set your stats to their current values.
item.rewind;Rewind
item.rewind.description;After 20 turns, set your stats to their current values.
item.ripped-pants;Ripped Pants
item.ripped-pants.description;Whenever you make a mistake, all visible strangers and familiars flee.
item.ritual-chalk;Ritual Chalk
item.ritual-chalk.description;Enchant target empty cell: until you make a mistake, spawn a familiar in this cell each turn.
item.rocket-boots;Rocket Boots
item.rocket-boots.description;[2 Leg Armor] Gain 5% pathfinding. Lose all pathfinding if these boots are removed.
item.rocking-chair;Rocking Chair
item.rocking-chair.description;When your mastery's ultimate ability is activated, lose your mastery.
item.rosary;Rosary
item.rosary.description;If you are missing more than half of your lives when you complete a stage, restore your life to max.
item.rosin;Rosin
item.rosin.description;After you use a magic item, your next chord will be a powerchord.
item.rotting-head;Rotting Head
item.rotting-head.description;For 5 seconds, reduce incoming damage by the number of seconds left.
item.rotting-head.divine;Divine Rotting Head
item.rotting-head.divine.description;For 10 seconds, reduce incoming damage by the number of seconds left. Extend the duration by 1 second whenever you increase the length of your chain.
item.royal-crown;Royal Crown
item.royal-crown.description;[1 Head Armor] Whenever you would gain coins, gain twice the amount instead.
item.royal-glove;Royal Glove
item.royal-glove.description;Spawn a familiar whenever you collect a diamond.
item.ruby-of-flame;Ruby of Flame
item.ruby-of-flame.description;Target cell gains or loses Burning.
item.rust;Rust
item.rust.description;At the start of each stage, cut the durability of your armors in half.
item.sabertooth-amulet;Sabertooth Amulet
item.sabertooth-amulet.description;When you complete a stage, gain a Minion. Your Minions can survive an extra point of damage.
item.sage;Sage
item.sage.description;Stages grant an additional mastery charge.
item.salamander;Salamander
item.salamander.description;Send Flares in all directions from the first cell you open each stage.
item.salt;Salt
item.salt.description;The next time an omen effect would activate, negate it and lose the omen.
item.santa-boots;Santa Boots
item.santa-boots.description;[3 Leg Armor] Every 40 turns, gain a Present if you just clicked a cell with a value equal to the number of visible strangers wearing santa hats.
item.santa-doll;Santa Doll
item.santa-doll.description;Spawn Santa when your ultimate ability is activated.
item.santa-hat;Santa Hat
item.santa-hat.description;[1 Head Armor] When equipped, fortify by the number of visible strangers wearing santa hats. Gain an additional token whenever you donate a Present to a stranger.
item.santa-robe;Santa Robe
item.santa-robe.description;[6 Body Armor] Fortify whenever you donate a Present to a stranger.
item.sapling;Sapling
item.sapling.description;Stages have 1 additional Hungry Plant. Every 50 cells opened without a mistake, gain either a Miracle Seed or a Demon Seed.
item.sapphire-of-frost;Sapphire of Frost
item.sapphire-of-frost.description;Target cell gains or loses Frozen.
item.scalpel;Scalpel
item.scalpel.description;Whenever you lose exactly 1 life, lose a random omen.
item.scary-mask;Scary Mask
item.scary-mask.description;When you enter a stage, reduce the monster count by the minimum power.
item.scholar-doll;Scholar Doll
item.scholar-doll.description;Gain Quest for Quests for every 2 mastery charges at the start of each stage, and when your ultimate ability is activated.
item.scholar's-memento;Scholar's Memento
item.scholar's-memento.description;Start the next dimension with your first 5 status effects.
item.scientist-medal;Scientist Medal
item.scientist-medal.description;Stages have an additional Scientist.
item.scorpion-tail;Scorpion Tail
item.scorpion-tail.description;Kill all visible living objects at the end of each stage, applying Toxic to their cells.
item.scout-doll;Scout Doll
item.scout-doll.description;Gain pathfinding equal to your mastery charges at the start of each stage, and when your ultimate ability is activated.
item.scout's-memento;Scout's Memento
item.scout's-memento.description;If you step through the Dimensional Portal with at least 20% pathfinding, start the next dimension with 10% pathfinding.
item.scrap-hopper;Scrap Hopper
item.scrap-hopper.description;Destroy target chest. The next time you open a chest, gain souls equal to your number of Scrap Hopper status effects.
item.scythe;Scythe
item.scythe.description;When you complete a stage, gain 1 soul for each omen you have.
item.scythe.divine;Divine Scythe
item.scythe.divine.description;Gain 1 soul whenever you gain an omen. At the end of each stage, restore your life to max if you have at least 3 omens.
item.second-wind;Second Wind
item.second-wind.description;50% chance to revive on death.
item.secret-decoder;Secret Decoder
item.secret-decoder.description;Learn the true meaning of signs. Each stage has an additional sign.
item.sentry-gnome;Sentry Gnome
